,en,ta
419,"It should be quite different from the Hindi version.
","படத்தை ப்ரேம் பை ப்ரேம் இழைத்ததில் எதிர்பார்த்ததைவிட அதிக காலவிரயம்.
"
420,"And the gates of the city shall be after the names of the tribes of Israel: three gates northward; one gate of Reuben, one gate of Judah, one gate of Levi.
","நகரத்தின் வாசல்கள், இஸ்ரவேல் கோத்திரங்களுடைய நாமங்களின்படியே பெயர் பெறக்கடவது; வடக்கே ரூபேனுக்கு ஒரு வாசல், யூதாவுக்கு ஒரு வாசல், லேவிக்கு ஒரு வாசல், ஆக மூன்று வாசல்கள் இருப்பதாக.
"
421,"After the 'Jambavan' mineral water problem, Nila ran away to Andhra where she acted in 'Sathyam Sivam Sundaram.'
","'ஜாம்பவான்' படத்தின்போது மினரல் வாட்டர் பிரச்சனையில் ஆந்திராவுக்கு ஓடிப்போனாரே நிலா. அப்போது 'சத்யம் சிவம் சுந்தரம்' என்ற படத்தில் நடித்தார்.
"
422,"Then I would know the truth of the fourth beast, which was diverse from all the others, exceeding dreadful, whose teeth were of iron, and his nails of brass; which devoured, broke in pieces, and stamped the residue with his feet;
","அப்பொழுது மற்றவைகளையெல்லாம் பார்க்கிலும் வேற்றுருவும் கெடியுமுள்ளதுமாய், இரும்புப் பற்களும், வெண்கல நகங்களுமுடையதாய் நொறுக்கிப் பட்சித்து, மீதியானதைத் தன் கால்களால் மிதித்துப்போட்டதுமாயிருந்த நாலாம் மிருகத்தைக்குறித்தும்,
"
423,"The intervention of America into this war was not motivated by the defence of democracy or the struggle to defeat fascism. American imperialism could have co-existed with German fascism and Japanese militarism, save for one characteristic feature of these regimes.
","இந்தப் போரில் அமெரிக்கா தலையிட்டது ஜனநாயகத்தை பாதுகாத்து நிற்கவேண்டும் என்ற நோக்கத்தாலோ அல்லது பாசிசத்தை வீழ்த்தவேண்டும் என்ற போராட்டத்திற்காகவோ அல்ல, இந்த ஆட்சிகளது சிறப்பியல்பைக்காப்பதற்காக அமெரிக்க ஏகாதிபத்தியம் ஜேர்மன் பாசிசத்தோடும் ஜப்பானிய இராணுவமயத்தோடும் சேர்ந்து செயல்பட்டிருக்கக்கூடும்.
"
424,"For the Greek working class, as well as workers throughout Europe, it was the equivalent of a gun pointed at their heads.
","கிரேக்கத் தொழிலாள வர்க்கத்தையும் மற்றய ஐரோப்பா முழுவதும் உள்ள தொழிலாள வர்க்கத்தையும் பொறுத்த வரையில் இது அவர்களின் தலையைக் குறி வைக்கும் ஒரு துப்பாக்கிக்கு சமமாகும்.
"
425,"The LCR received 320,000 votes for its candidates (1.3 percent), while LO collected some 304,000 (1.2 percent).
","எல்.சி.ஆர் அதன் வேட்பாளர்களுக்காக 320,000 வாக்குகளைப் (1.3 சதவீதம்) பெற்றன, அதேவேளை எல்.ஒ 304,000 (1.2 சதவீதம்) பெற்றது.
"
426,"Chirac adopted an Olympian attitude toward Le Pen between the two rounds of the presidential election, dismissing him as a political figure unworthy of France.
","ஜனாதிபதி தேர்தலின் இரண்டு வாக்களிப்பிற்கும் இடையே லு பென் உடன் அவர் பிரான்சிற்கு பொருத்தமற்ற ஒரு அரசியல்வாதி என நிராகரித்து, சிராக் ஒரு பாரிய போட்டியான நிலைப்பாட்டை எடுத்தார்.
"
427,"Conservative columnist David Brooks of the New York Times described Kennedy as 'The Great Gradualist.' Times writer Sam Tanenhaus, in a retrospective entitled 'In Kennedy, the Last Roar of the New Deal Liberal,' criticized Kennedy's 'intemperate denunciation of Judge Robert H. Bork in 1987,' and condemned his attempt to unseat incumbent Democratic President Jimmy Carter in the 1980 presidential primaries as his 'gravest miscalculation.'
","கன்சர்வேடிவ் கட்டுரையாளர் நியூ யோர்க் டைம்ஸின் டேவிட் ப்ரூக்ஸ் கென்னடியை ""சீராகப் பெரும் வளர்ச்சியுற்றவர்"" என்று விவரித்துள்ளார். ஒரு பின்னோக்குக் கட்டுரையில், ""புதிய உடன்பாட்டு தாராளவாதத்தின் கடைசி உறுமலில் கென்னடி"" என்ற தலைப்பில் டைம்ஸின் எழுத்தாளர் Sam Tanenhaus கென்னடியின் ""நீதிபதி ரொபேர்ட் எச்.போர்க்கை 1987ல் அளவுக்குமீறி கண்டித்தது பற்றி"" குறைகூறி, பதவியில் இருந்த ஜனநாயகக் கட்சி ஜனாதிபதி ஜிம்மி கார்ட்டரை 1980 ஜனாதிபதி ஆரம்ப தேர்தல்களில் அகற்ற முற்பட்டதை ""மிகப் பெரிய தவறான கணக்கு"" என்று கண்டிக்கவும் செய்தார்.
"
428,"After hearing this, Narayana Gowda, leader of the Karnataka Rakshana Vedika, responded.
","ரஜினிகாந்தின் அறிவிப்பை தொடர்ந்து கர்நாடக ரக்ஷ்ண வேதிகே அமைப்பின் தலைவர் நாராயணகவுடா நிருபர்களுக்கு பேட்டி அளித்தார்.
"
429,"The distinction between them was in the way they responded to the course of the revolution.
","புரட்சியின் போக்கிற்கு அவர்கள் அளித்த பிரதிபலிப்பில் தான் அவர்களுக்கிடையிலான வேறுபாடு இருந்தது.
"
430,"About 2,000 workers from the railways, health services, universities, schools, telecom sector, ports, the media, the public service and Sri Lanka's free trade zones picketed in front of Colombo Fort Railway Station on October 3, opposing the government's use of the courts to outlaw industrial action over pay and jobs.
","அக்டோபர் 3ம் திகதி, சம்பளம் மற்றும் தொழில் பிரச்சினைகள் தொடர்பாக தொழிற்சங்க நடவடிக்கையில் ஈடுபடுவதை சட்டவிரோதமாக்க அரசாங்கம் நீதிமன்றத்தை பயன்படுத்துவதை எதிர்த்து புகையிரதம், சுகாதார சேவை, பல்கலைக்கழகம், பாடசாலைகள், தொலைத்தொடர்பு துறை, துறைமுகம், ஊடகங்கள், பொது சேவைகள் மற்றும் இலங்கையின் சுதந்திர வர்த்தக வலயத்தைச் சேர்ந்த சுமார் 2,000 தொழிலாளர்கள் கொழும்பு கோட்டை புகையிரத நிலையத்திற்கு முன்பாக மறியல் போராட்டத்தில் ஈடுபட்டனர்.
"
431,"L.
","L.
"
432,"This raises the distinct possibility that the military regime and PTCL management will try to purge the most militant workers.
","இராணுவ ஆட்சியும், PTCL நிர்வாகமும் மிகவும் போர்க்குணமிக்க தொழிலாளர்களை களைஎடுக்க திட்டவட்டமான சாத்தியங்களை உருவாக்கியுள்ளன.
"
433,"The PSG bases itself on the lessons drawn from the collapse of the Soviet Union.
","சோவியத் ஒன்றியத்தின் பொறிவிலிருந்து எடுக்கப்பட்டுள்ள படிப்பினைகளை, PSG அடிப்படையாகக் கொண்டுள்ளது.
"
434,"I call heaven and earth to witness against you this day, that you shall soon utterly perish from off the land whereunto you go over Jordan to possess it; you shall not prolong your days on it, but shall utterly be destroyed.
","நீங்கள் யோர்தானைக் கடந்து சுதந்தரிக்கப்போகிற தேசத்தில் இராமல், சீக்கிரமாய் முற்றிலும் அழிந்துபோவீர்கள் என்று, இந்நாளில் உங்களுக்கு விரோமாய் வானத்தையும் பூமியையும் சாட்சி வைக்கிறேன்; நீங்கள் அதிலே நெடுநாள் இராமல் நிர்மூலமாக்கப்படுவீர்கள்.
"
435,"And he that overcomes, and keeps my works to the end, to him will I give power over the nations:
","ஜெயங்கொண்டு முடிவுபரியந்தம் என் கிரியைகளைக் கைக்கொள்ளுகிறவனெவனோ அவனுக்கு, நான் என் பிதாவினிடத்தில் அதிகாரம் பெற்றதுபோல, ஜாதிகள்மேல் அதிகாரம் கொடுப்பேன்.
"
436,"Even the critics of the NPA leadership merely propose more one-off demonstrations, which are fundamentally in line with the official strategy of the government: the boosting of the economy through enormous transfers of taxpayers' money to the banks and big business.
","NPA தலைமையைப் பற்றி குறைகூறுபவர்கள் கூடுதலான ஒருதடவை ஆர்ப்பாட்டங்கள்தான் தேவை என்கின்றனர்; இவை அரசாங்கத்தின் உத்தியோகபூர்வ மூலோபாயத்துடன், அதாவது பொருளாதாரத்திற்கு ஏற்றம் கொடுக்கும் விதத்தில் வரிகொடுப்பவர் பணத்தை வங்கிகளுக்கும் பெரு வணிகங்களுக்கும் அள்ளிக் கொடுத்தல் என்பதுடன் இணைத்துள்ளது.
"
437,"Trade unionism, as opposed to socialism, Lewis declared in 1937, 'is based upon the wage system and it recognizes fully and unreservedly the institution of private property and the right to investment profit.' If corporate America accepted collective bargaining, Lewis promised, the unions would be greatest 'bulwark against the alien doctrines' of socialism.
","தொழிற்சங்கவாதம் சோசலிசத்திற்கு எதிரானது என்று லூயிஸ் 1937ல் அறிவித்தார். ""அது ஊதிய முறையை அடிப்படையாகக் கொண்டது மற்றும் இலாபத்தை முதலீடு செய்வதற்கான உரிமையையும் தனியார் சொத்துடமையையும் சந்தேகத்திற்கிடமின்றி அது முழுமையாக அங்கீகரிப்பதாகும் '' என்று அறிவித்தார். பெருநிறுவன அமெரிக்கா கூட்டு பேரத்திற்கு சம்மதிக்குமானால் தொழிற்சங்கங்கள் சோசலிசம் என்கின்ற ''வெளிநாட்டு தத்துவங்களுக்கு எதிரான மிகப்பெரிய அரணாக,'' செயல்படும் என்று லூயிஸ் உறுதியளித்தார்.
"
438,"Money, however, was exactly what was not on offer at Sunday's conference.
","எவ்வாறிருப்பினும், ஞாயிறன்று நடத்த மாநாட்டில் தேவையான பணம் மட்டும் வழங்கப்படவில்லை.
"
439,"Since the dissolution of the Soviet Union, average monthly income in Ukraine has dropped to $30.
","சோவியத் ஒன்றியம் சிதைந்துவிட்ட பின்னர் உக்ரைனில் சராசரி மாத வருமானம் 30 டாலராக வீழ்ச்சியடைந்துவிட்டது.
"
440,"But while men slept, his enemy came and sowed tares among the wheat, and went his way.
","மனுஷர் நித்திரைபண்ணுகையில் அவனுடைய சத்துரு வந்து, கோதுமைக்குள் களைகளை விதைத்துவிட்டுப் போனான்.
"
441,"Once again, with the Bolivian masses in a state of open rebellion, these leaderships are making conciliatory gestures to the government.
","அது வாரிசாத்தா படுகொலைகள் நடைபெறுவதற்கு முதல் நாளாகும். மீண்டும் ஒரு முறை பொலிவியா நாட்டு மக்கள் கிளர்ச்சியில் ஈடுபட்டுள்ளனர்.
"
442,"The Communist Party of India (Marxist)-led Left Front is supporting the government 'from the outside.'
","இந்திய கம்யூனிஸ்ட் கட்சி (மார்க்சிஸ்ட்) தலைமையிலான இடது முன்னணி ""வெளியிலிருந்து"" அரசாங்கத்தை ஆதரிக்கிறது.
"
443,"Till now, America is refusing to sign a treaty for the conservation of the environment.
","சுற்றுச்சூழலை பாதுகாக்கும் மசோதாவில் கையெழுத்துப் போடாமல் இன்றுவரை முரண்டு பிடித்து வருகிறது அமெரிக்கா.
"
444,"<p style=""margin-bottom: 0cm;""><span style=""font-size: small;"">And once again, the burning issue of the day is the necessity of revolutionary leadership.
","மீண்டும், புரட்சிகர தலைமைத்துவத்தின் தேவை இன்றைய எரியும் பிரச்சினையாகியுள்ளது.
"
445,"Decade after decade, and especially from the time the Cold War began in 1947, the United States has worked assiduously to promote the interests of American corporations and banks at the expense of the democratic aspirations of people around the world.
","தசாப்தத்திற்கு பின் தசாப்தமாக, குறிப்பாக 1947 பனிப்போர் தொடங்கிய காலத்திலிருந்து, உலகம் முழுவதிலும் உள்ள மக்களது ஜனநாயக அபிலாசைகளை பலிகொடுத்து அமெரிக்க பெருநிறுவனங்களை மற்றும் வங்கிகளின் நலன்களை வளர்த்தெடுக்கும் விடாமுயற்சியை மேற்கொண்டது.
"
446,"In 'Imsai Arasan,' he played a dual role.
","இந்தப் படத்தில் அதை முறியடிக்கிறார்.
"
447,"The conflict, from a military standpoint, has already been lost.
","இராணுவ நிலைப்பாட்டில் இந்த மோதலில் அமெரிக்கா தோற்றுவிட்டது.
"
448,"Another Erinys contractor who was wounded in the attack, Deon Gouws, had been a member of the South African secret police Vlakplaas and was charged by the South African Truth Commission for murdering an anti-apartheid activist in 1986.
","அவர் பெயர் Deongows, அவர் தென்னாபிரிக்க இரகசிய போலீசான Vlakplaas-ல் பணியாற்றியவர். 1986-ம் ஆண்டு தென்னாபிரிக்காவில் இன ஒதுக்கலுக்கு எதிராக தீவிரமாக பங்கெடுத்துக்கொண்ட ஒருவரை கொலைசெய்ததாக தென்னாபிரிக்க உண்மைக் கண்டுபிடிப்பு கமிஷன் குற்றம் சாட்டியது.
"
449,"French and European imperialism, represented by both conservative and 'left' governments, in relation to immigration, need a cheap and submissive labour force without rights.
","கன்சர்வேடிவ் மற்றும் ""இடது"" அரசாங்கங்களால் பிரதிநிதித்துவம் செய்யப்படும் பிரெஞ்சு, ஐரோப்பிய ஏகாதிபத்தியம், குடியேற்றத்தை பொறுத்தவரையில், எவ்வித உரிமைகளும் இல்லாத ஒரு பணிந்து நிற்கும் ஒரு குறைவூதிய, தொகுப்பை, எதிர்பார்க்கிறது.
"
450,"Defense Minister Francisco Vidal has publicly declared that the military will only have a 'dissuasive' role.
","பாதுகாப்பு மந்திரி Francisco Vidal இராணுவம் ""எதிர்ப்பு வராத"" பங்கை ஆற்றும் என்றார்.
"
451,"In contrast to the shock and outpouring of sympathy for the Serykh family and the thousands of people caught in similar circumstancesâthere are 5,000 asylum seekers living in Glasgow aloneâthe political and media response has been cynical.
","கிளாஸ்கோவில் மட்டும் 5,000 தஞ்சம் கோருவோர் உள்ளனர். செரிக் குடும்பம் மற்றும் ஆயிரக்கணக்கான மக்கள் அத்தகைய நிலையில் அகப்பட்டுக் கொண்டுள்ளதற்கு வந்துள்ள பெரும் அதிர்ச்சி மற்றும் பரிவுணர்வு ஆகியவற்றிற்கு முற்றிலும் மாறாக அரசியல் மற்றும் செய்தி ஊடக பிரதிச் செயல் வெறுக்கும் நிலையாக உள்ளது.
"
452,"The very language used by the Post shows that it is indifferent to such considerations.
","வாஷிங்டன் போஸ்ட் கையாளும் மொழியானது அது அத்தகைய கணிப்புக்களுக்கு எதிரானது என்பதைக் காட்டிக் கொண்டுள்ளது.
"
453,"Coming back to the first statement, Vijay happens to be SA Chandrasekar's son.
","விஜய்யும், ஷங்கரும் எஸ். ஏ. சந்திரசேகரின் தயாரிப்புகள் என்று சொன்னதன் காரணம் கேட்கவில்லையே....
"
454,"He retired officially at the age of 55 last November.
","அவர் தனது 55-வது வயதில், சென்ற நவம்பர் மாதம், அதிகாரபூர்வமாக ஓய்வு பெற்றார்.
"
455,"Protesters, including entire classes of school students, travelled to Berlin from all over the country in 750 buses and specially hired trains.
","750-பேருந்துகள் மற்றும் வாடகைக்கு அமர்த்தப்பட்ட தனி இரயில்கள் மூலம் நாடு முழுவதிலிருந்து ஆர்ப்பாட்டக்கார்ரகள் வந்திருந்தனர்.
"
456,"Mammootty, Mohanlal, Dileep, Suresh Gopi, Jayaram, Bhavana and Kavya Madhavan act in the film.
","மம்முட்டி, மோகன்லால், திலீப், ஜெயராம், சுரேஷ் கோபி, பாவனா, காவ்யா மாதவன் உள்பட முன்னணி நடிகர்கள் நடிக்கிறார்கள்.
"
457,"He had argued that it was not possible to maintain the pretence that a Jewish state could be built on land occupied by another people - the Palestinians - other than through force.
","அவர், இன்னொரு மக்களால்- பாலஸ்தீனியர்களால் ஆக்கிரமிக்கப்பட்ட தேசத்தில்- பலாத்காரம் மூலம் தவிர- யூத அரசு கட்டப்பட முடியும் என்ற பாசாங்கைப் பேணுதல் இயலாதது என விவாதித்திருந்தார்.
"
458,"While the Nuclear Non-Proliferation Treaty does not ban uranium enrichment, all such activities have to be reported to the IAEA.
","யுரேனியம் செறிவூட்ட நடவடிக்கைக்கு அணு ஆயுத பரவல் தடை ஒப்பந்தம் தடைவிதிக்கவில்லை என்றாலும் அத்தகைய நடவடிக்கைகள் அனைத்தையும் IAEA விற்கு தெரிவித்து விடவேண்டும்.
"
459,"While the PSSRTUC leaders have organised a limited pay campaign, they are not prepared to wage a political offensive against the government.
","சம்பள ஆய்வுக் கமிட்டியின் தலைவர்கள் மட்டுப்படுத்தப்பட்ட ஒரு சம்பளப் பிரச்சாரத்தை ஒழுங்கு செய்திருந்த அதேவேளை, அவர்கள் அரசாங்கத்திற்கு எதிராக ஒரு அரசியல் எதிர்த்தாக்குதலை முன்னெடுக்க தயாரில்லை.
"
460,"India is home to 110 crores of people.
","இந்தியாவில் 110 கோடி மக்கள் வசிக்கிறார்கள்.
"
461,"Under the new law I have to find work next year.
","புதிய சட்டத்தின் கீழ் அடுத்த ஆண்டு நான் வேலை தேட வேண்டும்.
"
462,"At least four provinces have a clear Sunni majority.
","குறைந்தபட்சம் நான்கு மாகாணங்களில் தெளிவானதொரு சுன்னி பெரும்பான்மையினர் உள்ளனர்.
"
463,"And all the people came up after him, and the people piped with pipes, and rejoiced with great joy, so that the earth rent with the sound of them.
","பிற்பாடு ஜனங்களெல்லாரும் அவன் பிறகாலே போனார்கள்; ஜனங்கள் நாகசுரங்களை ஊதி, பூமி அவர்கள் சத்தத்தினால் அதிரத்தக்கதாக மகா பூரிப்பாய்ச் சந்தோஷித்தார்கள்.
"
464,"As a communist, I am in favour of social liberation of my people, and it will be after we will get our national liberation.
","ஒரு கம்யூனிஸ்ட்டாக, எனது மக்களின் சமூக விடுதலையை நான் ஆதரிக்கிறேன், மற்றும் அது எமது தேசிய விடுதலையைப் பெற்றதன் பின்னராக இருக்கும்.
"
465,"'China is a unitary state, rather than a federal state.'
","சீனா ஒரே அரசு மாறாக கூட்டமைப்பு அரசு அல்ல '' என்று அவர் மேலும் விளக்கமளித்தார்.
"
466,"The former world beauty is eagerly awaiting the film's release to see if this film at least will do well.
","இந்தப் படமாவது வெற்றி பெறுமா என படத்தின் ரிலீஸை ஆவலுடன் எதிர்பார்த்துக் கொண்டிருக்கிறார் முன்னாள் உலக அழகி!
"
467,"And he answering said, You shall love the Lord your God with all your heart, and with all your soul, and with all your strength, and with all your mind; and your neighbor as yourself.
","அவன் பிரதியுத்தரமாக: உன் தேவனாகிய கர்த்தரிடத்தில் உன் முழு இருதயத்தோடும் உன் முழு ஆத்துமாவோடும் உன் முழுப் பலத்தோடும் உன் முழுச்சிந்தையோடும் அன்புகூர்ந்து, உன்னிடத்தில் அன்புகூருவதுபோலப் பிறனிடத்திலும் அன்புகூருவாயாக என்று எழுதியிருக்கிறது என்றான்.
"
468,"When groups of Muslims gathered to retaliate, the police chased them away.
","முஸ்லிம் குழுக்கள் பதில் தாக்குதலுக்காக கூடியபோது பொலிசார் அவர்களை விரட்டிக் கலைத்தனர்.
"
469,"He plans to produce some films as well as direct his dream film 'Kutravaali' that will have no songs.
","இந்தப் படத்தை தொடர்ந்து மேலும் பல சொந்த படங்களை தயாரிக்க முடிவு செய்துள்ள அமீர், தனது கனவு படம் ஒன்றை இயக்கவுள்ளார்.
"
470,"It was 'completely unacceptable that all of Germany' was 'being forced to suffer' because the functionaries of a small union were seeking to promote themselves, he said.
","""ஜேர்மனி முழுமையும் பாதிக்கப்படும் அளவிற்கு நெருக்கடி அளிக்கப்படுவது சிறிது கூட ஏற்றுக் கொள்ளத்தக்கதல்ல"", ஏனென்றால், சிறிய சங்கங்கள் தங்களின் செயல்பாடுகளை ஊக்குவித்து கொள்ள விரும்புகின்றன என அவர் தெரிவித்தார்.
"
471,"Whose leaves were fair, and the fruit thereof much, and in it was meat for all; under which the beasts of the field dwelled, and on whose branches the fowls of the heaven had their habitation:
","அதின் இலைகள் நேர்த்தியும், அதின் கனி மிகுதியுமாயிருந்தது; எல்லா ஜீவனுக்கும் அதில் ஆகாரம் உண்டாயிருந்தது; அதின்கீழே வெளியின் மிருகங்கள் தங்கினது, அதின் கொப்புகளில் ஆகாயத்துப் பட்சிகள் தாபரித்தது.
"
472,"They answered and said to him, If he were not a malefactor, we would not have delivered him up to you.
","அவர்கள் அவனுக்குப் பிரதியுத்தரமாக: இவன் குற்றவாளியாயிராவிட்டால், இவனை உம்மிடத்தில் ஒப்புக்கொடுக்கமாட்டோம் என்றார்கள்.
"
473,"And you shall make them linen breeches to cover their nakedness; from the loins even to the thighs they shall reach:
","அவர்களுடைய நிர்வாணத்தை மூடும்படிக்கு, இடுப்புத்தொடங்கி முழங்கால்மட்டும் உடுத்த சணல்நூல் சல்லடங்களையும் உண்டுபண்ணுவாயாக.
"
474,"When John had first preached before his coming the baptism of repentance to all the people of Israel.
","இவர் வெளிப்படுவதற்குமுன்னே மனந்திரும்புதலுக்கேற்ற ஞானஸ்நானத்தைக்குறித்து யோவான் இஸ்ரவேலர் யாவருக்கும் பிரசங்கித்தான்.
"
475,"Likewise also the chief priests mocking him, with the scribes and elders, said,
","அப்படியே பிரதான ஆசாரியரும் வேதபாரகரும் மூப்பரும் பரியாசம் பண்ணி:
"
476,"Mubarak pledged to step up Egypt's policing of its border with Gaza and will deploy 700 border guards later this year.
","காசாவுடன் தனது எல்லையை கண்காணிக்க முபாரக் உறுதியளித்தார். மற்றும் இந்த ஆண்டு பிற்பகுதியில் 700 எல்லைக் காவலர்களை அனுப்புவார்.
"
477,"Pakistan, a nominal US ally, is threatened with reduction to colonial status.
","பெயரளவிற்கு அமெரிக்கா நட்பு நாடு என்றாலும், பாக்கிஸ்தான் ஒரு காலனி அந்தஸ்திற்குத் தள்ளப்படும் அச்சுறுத்தலை எதிர்நோக்கியுள்ளது.
"
478,"Jospin worked with the British government to make the passage to England as difficult and hazardous as possible, thus creating the pile-up of migrants seeking residence in England at the Sangatte Red Cross Centre, closed in 2002 at the request of the Blair government.
","பிரிட்டிஷ் அரசாங்கத்துடன் இணைந்து இங்கிலாந்திற்கு செல்வதை கடினமாகவும், ஆபத்துக்கள் நிறைந்ததாகவும் ஆக்க ஜோஸ்பன் செயல்பட்டார்; இது இங்கிலாந்தில் வசிப்பதற்காக வந்திருந்த குடியேறுபவர்கள் எண்ணிக்கையை Sangatte Red Cross Centreல் அதிகப்படுத்தியது; அது 2002ம் ஆண்டு பிளேயர் அரசாங்கத்தின் வேண்டுகோளின் பேரில் மூடப்பட்டது.
"
479,"There is more than symbolic significance in the fact that the inauguration takes place against the backdrop of a virtual lockdown of the nation's capital, the real purpose of which is to inspire fear and intimidate domestic political opposition, while, behind the police/military barricades, Bush's corporate sponsors shamelessly indulge themselves at balls and parties.
","இந்தப் பதவிப் பிரமாண நிகழ்ச்சி கிட்டத்தட்ட நாட்டின் தலைநகர் முழுவதும் பாதுகாப்பிற்குட்பட்டுள்ள நிலையில் நடந்துள்ளதில் வெறும் அடையாள முக்கியத்துவத்தைவிடக் கூடுதலாகக் காணப்படுகிறது; இதன் உண்மையான நோக்கம் அச்சத்தை தூண்டிவிடுவதும், உள்நாட்டு அரசியல் எதிர்ப்பை மிரட்டுவதும்தான்; அதேநேரத்தில் இந்த போலீஸ்/இராணுவ தடுப்புக்களுக்குப் பின் புஷ்ஷின் பெருநிறுவன ஆதரவாளர்கள் சிறிதும் வெட்கமின்றி நடனங்களிலும், விருந்துகளிலும் கேளிக்கை நடத்துகின்றனர்.
"
480,"Belgium first enacted the law of 'universal jurisdiction' in 1993, enabling Belgian courts to hear cases involving war crimes and crimes against humanity even if they were committed abroad and did not involve Belgian citizens.
","1993ம் ஆண்டு முதன் முதலில் உலகளாவிய அதிகார வரம்புச் சட்டத்தை இயற்றியிருந்தது. இது பெல்ஜிய நீதிமன்றங்கள், போர்க்குற்றங்கள், மனித குலத்திற்கெதிரான குற்றங்கள் எங்கு நடந்தாலும், பெல்ஜியன் குடிமக்கள் பாதிக்கப்படவில்லையென்றாலும், வழக்கை விசாரணை செய்யும் உரிமையை அளித்திருந்தது.
"
481,"Bush suggested that Kerry was 'soft' on terrorism and a quasi-pacifist, to which Kerry responded that he would 'never give a veto over American security to any other entity,' and that he would 'go out and kill and find the terrorists.' He added, 'If we have to get tough with Iran, believe me, we will get tough.'
","கெர்ரியின் உரையாடல் தொடர்பாக அவர் பயங்கரவாதம் மீதாக ""மிதமான தன்மை"" கொண்டவர் அரைகுறை சமாதான விரும்பி என்று புஷ்- குறிப்பிட்டார். அதற்கு பதிலளித்த கெர்ரி ""அமெரிக்காவின் பாதுகாப்பை பொறுத்தவரை வேறு எந்த அமைப்பிற்கும் நான் இரத்து அதிகாரத்தை தந்துவிட சம்மதிக்கமாட்டேன். நான் பயங்கரவாதிகளை கண்டுபிடித்து கொன்று குவிப்பேன்.
"
482,"During the past three weeks US military forces have combed Iraq in search of the weapons of mass destruction that could be seized upon by the administration and media to justify the war.
","கடந்த மூன்று வாரங்களாக அமெரிக்க இராணுவப் படையினர் ஈராக் முழுவதும் பேரழிவு ஆயுதங்களைத் தேடும் முயற்சியில் சல்லடையிட்டுப் பார்த்துவிட்டனர்; அது கிடைத்தால் அதைப் பற்றிக் கொண்டு நிர்வாகமும் செய்தி ஊடகமும் போரை நியாயப்படுத்த முடியும்.
"
483,"Savarimuththu refused and remarked that the UPF and its leader P. Chandrasekaran had failed to defend Tamil detainees, including himself.
","அதை நிராகரித்த சவரிமுத்து ம.ம.மு.வும் அதன் தலைவரான பீ.சந்திரசேகரனும் (தான் உட்பட்ட) அரசியல் கைதிகளை பாதுகாக்கத் தவறியதை சுட்டிக் காட்டினார்.
"
484,"But when the farmers saw him, they reasoned among themselves, saying, This is the heir: come, let us kill him, that the inheritance may be ours.
","தோட்டக்காரர் அவனைக் கண்டபோது: இவன் சுதந்தரவாளி, சுதந்தரம் நம்முடையதாகும்படிக்கு இவனைக் கொல்லுவோம் வாருங்கள் என்று ஒருவரோடொருவர் சொல்லிக்கொண்டு,
"
485,"Like dry riverbeds where I come from, those drainage channels may fill up again and again as methane rains down from the atmosphere and fills the seas along the shorelines'.
","என்னுடைய பூர்வீக இடத்தில் காணப்படும் வறண்ட ஆற்றுப் படுகைகள் போலவே, இந்த வடிகால் ஓடைகளும் மீண்டும் மீண்டும் சுற்றுச் சூழலில் இருந்து மீத்தேன் பொழியும்போது நிரம்பி கடற்கரையின் கடலோரப்பகுதிகளை நிரப்பியிருக்கக்கூடும்.""
"
486,"Average household debt in the UK is approaching Â£9,000, excluding mortgages.
","இங்கிலாந்தில் சராசரி இல்லக்கடன் 9,000 பவுண்டுகளை நெருங்கிக் கொண்டிருக்கிறது; இதில் அடமானம் சேர்க்கப்படவில்லை.
"
487,"Stock exchange reception for the deal has been sceptical.
","பங்குச் சந்தைகள் இத்தகைய பேரங்களை உற்சாகமாக வரவேற்கவில்லை.
"
488,"Howard dispatched Australian warships to the waters off East Timor on May 12 without informing the government in Dili, but waited until the outcome of a challenge to Alkatiri at a Fretilin congress on May 17-19.
","டிலி அசாங்கத்திற்கு தெரிவிக்காமல் மே 12 அன்று கிழக்கு திமோரிய கடல் எல்லைப் பகுதிகளுக்கு ஆஸ்திரேலிய போர்க்கப்பல்களை ஹோவர்ட் அனுப்பி வைத்தார்; பின்னர் மே 17-19 அன்று பிரெடிலினுடைய மாநாட்டில் அல்கட்டிரிக்கு விடுக்கப்பட்ட சவாலின் விளைவிற்குக் காத்திருந்தார்.
"
489,"Given the widespread anti-colonialist sentiment in Britain and the loss of trust in Blair and his government, his posturing as a friend of Africa is nauseating.
","பிரிட்டனில் பரவலாக காலனித்துவ எதிர்ப்புணர்வு நிலவுவதுடன், பிளேயருக்கும் அவரது அரசாங்கத்திற்கும் நம்பிக்கை இழப்பு ஏற்பட்டிருக்கிறது.
"
490,"We will know the answer to it in the near future!
","விரைவில் இதற்கும் ஒரு அறிவிப்பு வரலாம்!
"
491,"Roh has been secretly trying to veer our country toward the communists in the North and away from our close ally, the United States.'
","ரோக் எங்களது நாட்டை வட கொரிய கம்யூனிஸ்ட்டுகளை நோக்கி இரகசியமாக இட்டு செல்வதற்கு முயன்று கொண்டிருக்கிறார், அதே நேரத்தில் நமது நெருங்கிய நண்பரான அமெரிக்காவிலிருந்து பிரிந்து செல்ல முயலுகிறார்"" என்று வாஷிங்டன் போஸ்ட் நாளிதழுக்குப் பேட்டியளித்தார்.
"
492,"How they fall in love and unite is the story.
","படத்தின் காட்சி முழுவதும் நடைபெறுவது ஹைதராபாத்தில்.
"
